length	config	time
8.28577	39.0329	4.307
10.7447	50.0245	1.53
10.3877	48.5169	2.15
10.2437	55.3631	13.695
13.4878	60.3432	3.816
11.4217	61.9166	10.867
9.93982	49.7607	4.543
9.06386	48.0598	1.443
9.09373	47.3662	3.471
9.54535	49.7659	9.38
10.0061	53.4608	2.833
8.67224	44.4192	0.739
8.60657	50.635	2.816
10.4847	49.9644	4.091
7.99302	32.3823	1.605
12.5485	62.942	6.649
9.14179	51.617	7.913
13.034	72.5327	3.757
9.75663	43.8995	3.192
9.82397	52.2276	3.224
10.882	55.3412	1.948
9.62544	42.1275	6.226
10.7257	50.092	4.787
9.59809	48.2343	3.675
7.97699	35.5467	3.239
10.0466	47.4668	2.078
10.9367	53.9065	7.517
8.03178	35.8736	5.489
8.2327	36.2477	3.166
13.1313	69.5097	5.942
8.56581	42.2849	1.738
10.3212	53.1818	1.913
11.5226	52.9233	1.056
8.84269	45.0331	5.249
9.21067	43.9811	4.251
10.2221	46.5228	3.647
10.9262	56.2405	4.507
9.87593	48.3175	4.818
9.97996	47.6614	2.716
9.67488	54.1571	2.84
8.7106	47.3469	4.526
9.11658	41.4133	10.44
9.90291	52.248	7.643
9.35224	46.3344	1.738
10.7045	45.7154	2.733
9.08169	47.5124	5.012
10.6712	62.2654	5.554
9.55652	54.4333	7.233
9.07035	38.014	1.427
9.4665	47.303	2.731
7.48498	38.6219	4.997
8.69707	40.3566	1.227
10.5181	55.9272	5.025
9.33297	50.1758	4.964
12.6167	62.9324	4.082
8.31195	34.1353	2.764
10.2366	54.3121	3.523
9.61793	46.2534	5.334
9.56037	49.1877	4.9
9.28879	43.7082	6.361
9.45581	49.6142	10.079
10.1079	53.1155	6.537
8.99971	39.7141	3.33
9.30703	48.7061	5.089
8.1492	40.0256	1.683
10.0827	50.2678	5.861
10.9581	50.2503	2.404
9.7392	42.8149	1.447
9.99091	51.3907	2.861
9.76107	43.6555	2.608
9.20929	42.634	4.051
8.83909	39.4073	2.597
8.76008	43.8743	3.606
8.64946	39.2181	3.716
8.21049	38.318	4.051
10.2769	42.4877	2.43
7.60908	38.701	2.318
6.54588	36.7359	1.895
11.1919	56.2117	3.775
8.90466	51.826	2.952
10.3596	46.2752	5.207
9.59102	49.7596	3.9
10.7845	49.348	3.046
8.84723	40.0813	3.772
9.81507	42.7717	5.294
12.8717	58.3236	3.223
8.88527	47.3644	1.417
9.54028	51.7326	2.857
8.37384	35.6302	2.323
10.3965	51.2719	3.865
6.57348	35.0167	3.371
9.8177	42.3094	5.289
9.72207	55.059	6.143
12.0089	60.1432	3.346
10.5469	52.6408	3.233
10.4785	46.5916	5.934
8.59355	37.782	6.393
9.51596	51.5395	4.354
10.3176	49.9513	3.605
9.4493	46.1827	9.211
