length	config	time
10.1675	58.8186	0.286
7.96184	45.775	0.095
11.4577	66.2219	2.712
9.45338	49.8171	0.103
8.88198	49.935	0.946
9.31829	55.1408	0.961
10.7304	52.5052	0.151
9.7632	54.9508	0.929
5.98683	29.0153	0.053
7.98222	40.6717	0.603
9.58534	50.127	1.386
7.87223	48.5199	1.146
10.1697	60.8446	0.488
10.8426	50.7537	0.853
7.79132	42.5213	0.5
8.05901	46.4997	0.315
8.14632	44.9181	0.349
8.15799	43.1261	0.777
6.86871	36.4083	0.406
10.7745	55.143	0.281
7.03231	32.697	0.089
8.91825	39.2117	0.29
7.15917	38.4983	1.881
6.88371	36.5864	0.897
8.99884	46.3918	0.769
6.80301	34.2226	0.099
9.64134	53.7733	0.642
9.34491	44.5334	0.564
8.23829	57.2096	1.39
8.24467	52.1905	0.218
7.58612	45.9516	0.648
9.37121	51.7805	0.104
7.29793	41.2437	0.056
9.05948	52.7457	0.444
9.84487	52.2795	0.255
9.54389	56.2907	0.29
9.77717	55.2016	1.843
10.6015	58.8847	0.146
8.92403	48.0468	0.553
8.43125	53.8111	0.716
8.74404	50.8724	1.149
9.03181	59.3947	0.703
6.74562	40.8994	0.572
6.43842	39.6505	0.227
9.27003	49.3041	0.634
7.58331	45.6838	0.439
6.37667	40.9594	0.752
8.15851	45.5034	0.334
9.2492	56.855	1.686
8.89976	49.8528	0.116
